Frame Rate:,30.0000000000
Frame Number,Timecode,content_val,delta_hue,delta_lum,delta_sat
216,00:00:07.200,16.748148148148147,16.015895061728394,14.389722222222222,19.838827160493828
217,00:00:07.233,16.401831275720166,15.537623456790124,14.272993827160494,19.394876543209875
218,00:00:07.267,16.044269547325104,14.678364197530865,14.163796296296296,19.290648148148147
219,00:00:07.300,17.97084362139918,17.682314814814816,15.215,21.015216049382715
220,00:00:07.333,15.949927983539096,14.320956790123457,14.463333333333333,19.065493827160495
221,00:00:07.367,17.811111111111114,17.222685185185185,15.337716049382717,20.872932098765432
222,00:00:07.400,17.090524691358024,15.565493827160493,15.444907407407408,20.261172839506173
223,00:00:07.433,18.216296296296296,17.29577160493827,16.107993827160495,21.24512345679012
224,00:00:07.467,18.853405349794237,17.07648148148148,17.072592592592592,22.41114197530864
225,00:00:07.500,22.038662551440325,21.2329012345679,19.33719135802469,25.545895061728395
226,00:00:07.533,23.437818930041157,22.73148148148148,20.920895061728395,26.66108024691358
227,00:00:07.567,24.331399176954733,23.695185185185185,21.788734567901233,27.510277777777777
228,00:00:07.600,24.236944444444443,23.165339506172838,22.514783950617282,27.03070987654321
229,00:00:07.633,38.51159465020576,38.835,36.39746913580247,40.302314814814814
230,00:00:07.667,29.921440329218104,30.1541975308642,28.205864197530865,31.40425925925926
231,00:00:07.700,30.273240740740743,30.69793209876543,28.99688271604938,31.124907407407406
232,00:00:07.733,30.046141975308643,30.08185185185185,29.308641975308642,30.747932098765432
233,00:00:07.767,30.716378600823045,30.967098765432098,29.940586419753085,31.241450617283952
234,00:00:07.800,30.192870370370372,30.175185185185185,29.963425925925925,30.44
235,00:00:07.833,30.05492798353909,29.960462962962964,29.73574074074074,30.46858024691358
236,00:00:07.867,28.581604938271607,27.97277777777778,28.827376543209876,28.94466049382716
237,00:00:07.900,27.80320987654321,27.252253086419753,28.001265432098766,28.156111111111112
238,00:00:07.933,25.920329218106996,25.060833333333335,26.37043209876543,26.329722222222223
239,00:00:07.967,25.191512345679016,24.840432098765433,25.54570987654321,25.188395061728396
240,00:00:08.000,23.87034979423868,23.278240740740742,24.735524691358023,23.597283950617285
241,00:00:08.033,23.642623456790123,23.39185185185185,24.172716049382718,23.363302469135803
242,00:00:08.067,21.2586316872428,20.71645061728395,21.70358024691358,21.355864197530863
243,00:00:08.100,20.018127572016464,20.070216049382715,20.0454012345679,19.938765432098766
244,00:00:08.133,17.464022633744857,16.993117283950617,17.91503086419753,17.48391975308642
245,00:00:08.167,16.664403292181067,17.105617283950618,16.59108024691358,16.296512345679012
246,00:00:08.200,13.705216049382715,13.724938271604938,14.028487654320987,13.362222222222222
247,00:00:08.233,13.730946502057613,14.037037037037036,13.938333333333333,13.21746913580247
248,00:00:08.267,12.330164609053497,13.230586419753086,12.116234567901234,11.643672839506173
249,00:00:08.300,12.146409465020575,11.401388888888889,13.15925925925926,11.87858024691358
250,00:00:08.333,17.986759259259262,22.701234567901235,14.426358024691359,16.832685185185184
251,00:00:08.367,12.708405349794239,13.533765432098765,12.58537037037037,12.00608024691358
252,00:00:08.400,12.088755144032922,12.610833333333334,12.402654320987654,11.252777777777778
253,00:00:08.433,12.12054526748971,12.528641975308641,12.561635802469135,11.271358024691358
254,00:00:08.467,11.954598765432097,12.198858024691358,12.449598765432098,11.215339506172839
255,00:00:08.500,12.43227366255144,13.16824074074074,12.448024691358025,11.680555555555555
256,00:00:08.533,12.424125514403293,12.658611111111112,12.91570987654321,11.698055555555555
257,00:00:08.567,11.602098765432098,12.755524691358024,11.767808641975309,10.282962962962962
258,00:00:08.600,10.877397119341564,11.41925925925926,11.081666666666667,10.131265432098765
259,00:00:08.633,11.06477366255144,11.722932098765432,11.249351851851852,10.222037037037037
260,00:00:08.667,10.6884670781893,11.410154320987655,10.87358024691358,9.781666666666666
261,00:00:08.700,10.356975308641974,10.774907407407408,10.714074074074073,9.581944444444444
262,00:00:08.733,10.97261316872428,11.310524691358024,11.301265432098765,10.306049382716049
263,00:00:08.767,11.05827160493827,11.532222222222222,11.373425925925925,10.269166666666667
264,00:00:08.800,10.586213991769547,11.002654320987654,11.01388888888889,9.742098765432099
265,00:00:08.833,10.38022633744856,10.435555555555556,10.940493827160493,9.76462962962963
266,00:00:08.867,10.175298353909463,10.240679012345678,10.686018518518518,9.599197530864197
267,00:00:08.900,11.91966049382716,12.469691358024692,12.179074074074075,11.110216049382716
268,00:00:08.933,11.298899176954734,11.330802469135802,11.913364197530864,10.65253086419753
269,00:00:08.967,12.687510288065845,13.220740740740741,13.071697530864197,11.770092592592592
270,00:00:09.000,10.342150205761317,10.844382716049383,10.626728395061729,9.555339506172839
271,00:00:09.033,11.276718106995885,12.31679012345679,11.369320987654321,10.144043209876543
272,00:00:09.067,11.074362139917696,11.144074074074075,11.480185185185185,10.598827160493828
273,00:00:09.100,12.056666666666667,12.359104938271605,11.356913580246914,12.453981481481481
274,00:00:09.133,10.165709876543211,9.604382716049383,10.782067901234567,10.11067901234568
275,00:00:09.167,10.17599794238683,9.714691358024691,10.770524691358025,10.042777777777777
276,00:00:09.200,10.342026748971193,9.771851851851851,10.755401234567902,10.498827160493827
277,00:00:09.233,11.379876543209877,11.528271604938272,11.343333333333334,11.268024691358026
278,00:00:09.267,11.190874485596709,10.924938271604939,11.557932098765432,11.089753086419753
279,00:00:09.300,11.656646090534979,10.964135802469135,12.200740740740741,11.805061728395062
280,00:00:09.333,11.694022633744856,10.846018518518518,12.313518518518519,11.922530864197531
281,00:00:09.367,12.962026748971192,12.820123456790123,12.76891975308642,13.297037037037038
282,00:00:09.400,12.099825102880658,11.657561728395061,12.490555555555556,12.151358024691358
283,00:00:09.433,12.781656378600823,12.749320987654322,12.758179012345678,12.837469135802468
284,00:00:09.467,12.688569958847737,12.188580246913581,12.919598765432099,12.957530864197532
285,00:00:09.500,13.055627572016462,12.98929012345679,13.086234567901235,13.091358024691358
286,00:00:09.533,13.140781893004116,12.470123456790123,13.505524691358024,13.446697530864197
287,00:00:09.567,13.422088477366254,12.556481481481482,13.952716049382715,13.757067901234567
288,00:00:09.600,14.045349794238684,13.070864197530865,14.366358024691358,14.698827160493828
289,00:00:09.633,15.095617283950617,14.49462962962963,14.806574074074074,15.985648148148147
290,00:00:09.667,13.790864197530865,13.194691358024691,13.732716049382717,14.445185185185185
291,00:00:09.700,14.088333333333333,13.15611111111111,14.342407407407407,14.766481481481481
292,00:00:09.733,14.195236625514402,13.112808641975308,14.414783950617284,15.058117283950617
293,00:00:09.767,14.059495884773662,13.264259259259259,14.120987654320988,14.79324074074074
294,00:00:09.800,13.424814814814814,12.85108024691358,13.412438271604938,14.010925925925926
295,00:00:09.833,12.83179012345679,12.388240740740741,12.848117283950618,13.259012345679013
296,00:00:09.867,13.145493827160493,12.092345679012345,13.44141975308642,13.902716049382716
297,00:00:09.900,13.42477366255144,12.64858024691358,13.58033950617284,14.045401234567901
298,00:00:09.933,13.39335390946502,12.415771604938271,13.87570987654321,13.88858024691358
299,00:00:09.967,13.404454732510288,12.131512345679011,14.126944444444444,13.954907407407408
300,00:00:10.000,13.549125514403292,12.466913580246914,14.155524691358025,14.024938271604938
301,00:00:10.033,13.981100823045267,12.930895061728394,14.352901234567902,14.659506172839507
302,00:00:10.067,13.21466049382716,11.585833333333333,14.058796296296297,13.999351851851852
303,00:00:10.100,13.520185185185184,12.084444444444445,14.335061728395061,14.14104938271605
304,00:00:10.133,13.680226337448559,11.966635802469137,14.61962962962963,14.454413580246914
305,00:00:10.167,14.306862139917696,13.2375,14.8270987654321,14.855987654320987
306,00:00:10.200,14.012098765432098,12.398302469135803,14.852253086419752,14.78574074074074
307,00:00:10.233,13.896316872427983,12.277623456790124,14.784938271604938,14.626388888888888
308,00:00:10.267,14.336635802469138,13.108672839506173,14.818858024691359,15.082376543209877
309,00:00:10.300,14.298683127572017,12.723024691358024,14.993117283950617,15.179907407407407
310,00:00:10.333,14.15340534979424,12.72253086419753,14.75820987654321,14.979475308641975
311,00:00:10.367,14.459444444444445,13.257314814814816,14.916172839506173,15.204845679012346
312,00:00:10.400,14.28482510288066,12.960432098765432,14.656172839506173,15.23787037037037
313,00:00:10.433,14.791018518518518,13.41179012345679,15.107592592592592,15.853672839506173
314,00:00:10.467,14.643631687242797,13.52320987654321,14.949290123456791,15.458395061728394
315,00:00:10.500,14.780051440329217,13.60216049382716,15.215432098765431,15.522561728395061
316,00:00:10.533,15.174619341563785,13.777808641975309,15.543888888888889,16.20216049382716
317,00:00:10.567,15.980946502057613,14.486697530864198,16.3458024691358,17.11033950617284
318,00:00:10.600,15.835925925925926,13.872746913580247,16.54179012345679,17.09324074074074
319,00:00:10.633,16.030545267489714,14.223179012345678,16.561141975308644,17.307314814814816
320,00:00:10.667,16.005895061728395,13.639475308641975,16.822345679012347,17.555864197530862
321,00:00:10.700,16.2769341563786,14.490648148148148,16.821851851851854,17.518302469135804
322,00:00:10.733,16.726831275720166,15.306172839506173,17.079413580246914,17.794907407407408
323,00:00:10.767,19.008158436213993,16.625833333333333,19.14817901234568,21.250462962962963
